Equipe,G1,XG1,XA1,AMT,Passes prog,Passes surface,Poss prog,Poss surface,Dribbles tentés,Ratio_drib,G2,XG2,XA2,TCL,Erreurs,Aerien win,Absences,Domination,Top_gb,Efficacite,Att_reg,Def_reg,Ppda,Xpts,g1_dead,g2_dead,Classement reel,Points reels,Groupe,Keep score,Back score,Ligue
Manchester City,2.58,2.19,3.36,34.5,56.17,13.08,30.69,10.79,19.77,0.5,0.98,0.88,1.16,19.1,0.42,54.01,0.68,0.85,0.46,0.56,0.73,0.88,11.9,2.19,0.11,0.09,1,91,1,0.85,0.86,UK
Manchester United,1.57,1.53,2.02,25.25,38.48,8.61,19.57,7.0,18.68,0.44,1.66,1.83,2.49,25.5,0.39,49.99,0.41,0.34,0.5,0.5,0.41,0.32,12.89,1.17,0.05,0.09,8,60,3,0.68,0.3,UK
Marseille,1.65,1.63,2.32,24.56,45.52,9.23,17.71,4.4,16.15,0.48,1.31,1.16,1.7,27.15,0.25,52.42,0.42,0.67,0.31,0.46,0.48,0.71,11.64,1.77,0.1,0.15,8,50,3,0.7,0.45,FR
Metz,1.03,1.0,1.13,16.76,26.76,4.47,13.47,2.82,19.26,0.44,1.71,1.6,2.4,26.76,0.26,41.55,0.76,0.26,0.32,0.38,0.21,0.5,19.04,0.95,0.06,0.12,16,29,4,0.5,0.12,FR
Milan,1.88,1.74,2.35,27.34,40.74,8.88,23.38,5.84,20.42,0.48,1.32,1.19,1.41,21.56,0.38,52.09,0.3,0.72,0.46,0.54,0.54,0.72,12.06,1.83,0.14,0.06,2,75,1,0.76,0.38,IT
Monaco,2.0,1.63,2.36,26.0,50.76,10.74,18.06,5.26,17.44,0.5,1.24,1.27,1.75,31.12,0.41,49.6,0.78,0.68,0.59,0.53,0.56,0.68,8.29,1.76,0.12,0.12,2,67,1,0.8,0.5,FR
Montpellier,1.26,1.36,1.74,22.0,34.53,6.35,16.26,4.88,18.26,0.48,1.41,1.5,2.24,27.26,0.15,49.39,1.0,0.44,0.53,0.44,0.35,0.62,14.18,1.32,0.06,0.12,12,41,3,0.56,0.36,FR
Monza,1.03,1.03,1.46,21.05,32.84,6.61,19.03,4.34,12.89,0.44,1.34,1.49,1.92,22.21,0.21,49.58,1.09,0.29,0.61,0.39,0.18,0.58,15.12,1.07,0.05,0.11,12,45,3,0.65,0.27,IT
Mönchengladbach,1.65,1.36,2.15,23.71,36.09,7.68,17.59,4.5,16.18,0.42,1.97,1.6,2.66,26.91,0.44,51.38,0.53,0.38,0.26,0.56,0.32,0.5,17.33,1.22,0.15,0.18,14,34,3,0.33,0.44,AL
Nantes,0.88,1.1,1.6,19.56,36.56,6.76,16.74,4.15,13.76,0.48,1.62,1.55,2.16,26.88,0.12,47.92,1.21,0.35,0.44,0.35,0.18,0.47,15.97,1.03,0.09,0.06,14,33,3,0.67,0.23,FR
Napoli,1.46,1.57,2.17,29.22,45.87,10.35,21.13,5.13,19.91,0.44,1.33,1.09,1.59,21.89,0.13,49.42,0.54,0.7,0.37,0.41,0.46,0.76,10.4,1.8,0.07,0.04,10,53,3,0.65,0.45,IT
Newcastle United,2.07,1.87,2.4,24.77,40.66,9.68,18.84,5.82,19.09,0.47,1.57,1.68,2.36,24.61,0.39,52.12,0.34,0.5,0.55,0.39,0.57,0.59,10.99,1.73,0.14,0.09,7,60,3,0.67,0.17,UK
Nice,1.18,1.47,1.91,23.26,36.62,7.5,19.44,4.5,22.12,0.49,0.85,1.05,1.41,24.41,0.29,51.74,0.53,0.53,0.53,0.29,0.44,0.76,12.05,1.76,0.09,0.06,5,55,2,0.68,0.12,FR
Nottingham Forest,1.29,1.32,1.74,20.61,30.0,6.42,15.89,4.11,15.87,0.45,1.76,1.4,2.02,27.87,0.34,49.78,0.92,0.42,0.24,0.53,0.26,0.58,21.26,1.32,0.08,0.18,17,32,4,0.5,0.22,UK
